cluster,rank,gene
Cancer.cell.5,4,CETN2
Cancer.cell.5,5,TMEM100
Cancer.cell.5,6,MFAP5
Cancer.cell.5,7,PEG10
Cancer.cell.5,8,CCND1
Cancer.cell.5,9,TTYH1
Cancer.cell.5,10,NAP1L1
Cancer.cell.5,11,SELENOP
Cancer.cell.5,12,STK38L
Cancer.cell.5,13,MLF1
Cancer.cell.5,14,CAPS
Cancer.cell.5,15,LDHB
Cancer.cell.5,16,C2orf40
Cancer.cell.5,17,CFAP126
Cancer.cell.5,18,PTMS
Cancer.cell.5,19,LRRIQ1
Cancer.cell.5,20,COMP
Cancer.cell.5,21,SPRY1
Cancer.cell.5,22,PLTP
Cancer.cell.5,23,C17orf97
Cancer.cell.5,24,LMO3
Cancer.cell.5,25,RPGR
Cancer.cell.5,26,ARMC3
Cancer.cell.5,27,PRELP
Cancer.cell.5,28,SEMA3E
Cancer.cell.5,29,PON1
Cancer.cell.5,30,SNHG9
Cancer.cell.5,31,HYDIN
Cancer.cell.5,32,SPX
Cancer.cell.5,33,ATP5MC2
Cancer.cell.5,34,MEG3
Cancer.cell.5,35,PIFO
Cancer.cell.5,36,FMOD
Cancer.cell.5,37,AC004540.2
Cancer.cell.5,38,NKAIN4
Cancer.cell.5,39,ENKUR
Cancer.cell.5,40,PPIL6
Cancer.cell.5,41,SPEF2
Cancer.cell.5,42,PREX2
Cancer.cell.5,43,MNS1
Cancer.cell.5,44,FAM183A
Cancer.cell.5,45,GRIA2
Cancer.cell.5,46,SLITRK6
Cancer.cell.5,47,CFAP54
Cancer.cell.5,48,SPAG17
Cancer.cell.5,49,CD177
Cancer.cell.5,50,FAM81B
Cancer.cell.6,1,VEGFA
Cancer.cell.6,2,SST
Cancer.cell.6,3,SLC2A1
Cancer.cell.6,4,BNIP3
Cancer.cell.6,5,NDRG1
Cancer.cell.6,6,NDUFA4L2
Cancer.cell.6,7,FTL
Cancer.cell.6,8,P4HA1
Cancer.cell.6,9,DDIT3
Cancer.cell.6,10,NUPR1
Cancer.cell.6,11,IGFBP3
Cancer.cell.6,12,FTH1
